Tnumber:,,,,,,200,200,200,200,200,200,200,200,200,200,200,200,200,200,300,300,300,300,310,310,310,320,320,320,320,330,330,330,330,330,330,330,340,340,350,350,350,550,550,560,560,560,
4, 0,9,0, 1,1,-394.437,-464.572,-466.098,-466.951,-466.711,-466.159,-467.908,-468.039,-468.551,-467.889,-466.992,-467.135,-0.041,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.662,PASS,1231.120,2.478,1916.369,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
4, 1,9,1, 1,1,-388.035,-459.035,-457.943,-458.124,-457.805,-457.949,-456.118,-458.519,-459.368,-458.299,-457.179,-457.707,0.224,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.696,PASS,1230.839,2.456,1914.941,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
5, 0,11,0, 1,1,-387.041,-457.919,-459.848,-458.684,-457.125,-457.415,-458.204,-457.976,-460.415,-458.636,-460.305,-460.273,0.199,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.576,PASS,1225.619,2.453,1904.002,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
5, 1,11,1, 1,1,-406.994,-481.355,-480.210,-482.315,-481.906,-481.300,-481.999,-482.913,-484.289,-483.033,-482.919,-480.376,0.058,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.630,PASS,1232.130,2.465,1948.993,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
6, 0,13,0, 1,1,-391.882,-463.633,-465.845,-464.308,-461.968,-462.869,-464.646,-465.139,-464.171,-464.904,-464.001,-463.394,0.111,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.695,PASS,1234.215,2.482,1890.951,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
6, 1,13,1, 1,1,-387.276,-460.381,-459.572,-458.644,-460.145,-457.434,-459.250,-460.333,-461.051,-459.249,-461.450,-458.699,0.277,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.637,PASS,1231.566,2.451,1927.908,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
7, 0,15,0, 1,1,-389.419,-460.928,-462.048,-461.388,-461.725,-462.329,-462.770,-460.580,-462.736,-461.770,-462.785,-461.118,0.144,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.589,PASS,1231.872,2.527,1922.783,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
7, 1,15,1, 1,1,-399.143,-472.517,-471.543,-472.357,-473.202,-471.515,-473.308,-474.356,-474.525,-474.713,-474.051,-471.504,0.361,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.647,PASS,1230.251,2.456,1932.716,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
8, 0,17,0, 1,1,-394.824,-466.151,-467.205,-466.794,-468.137,-467.009,-468.285,-468.398,-469.342,-468.633,-468.155,-467.622,0.358,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.612,PASS,1233.000,2.488,1903.853,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
8, 1,17,1, 1,1,-388.561,-461.187,-460.455,-462.124,-463.496,-460.475,-461.452,-463.024,-462.200,-461.349,-463.909,-462.117,0.441,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.589,PASS,1222.482,2.432,1944.027,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
9, 0,19,0, 1,1,-390.359,-459.831,-461.542,-462.341,-463.351,-462.425,-463.386,-462.076,-463.227,-463.125,-463.839,-462.578,0.201,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.625,PASS,1230.719,2.500,1936.164,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
9, 1,19,1, 1,1,-400.576,-476.883,-476.137,-474.898,-476.611,-477.604,-475.344,-478.032,-477.352,-476.589,-478.222,-474.603,-0.095,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.580,PASS,1230.200,2.447,1911.156,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
10, 0,21,0, 1,1,-397.941,-468.474,-469.175,-471.046,-469.672,-470.094,-471.423,-471.848,-472.655,-470.102,-471.756,-471.316,0.176,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.680,PASS,1230.656,2.471,1921.157,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
10, 1,21,1, 1,1,-386.884,-460.028,-459.505,-459.926,-460.932,-460.069,-460.904,-460.443,-461.113,-461.726,-462.600,-459.247,0.124,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.662,PASS,1231.466,2.468,1916.031,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
11, 0,23,0, 1,1,-389.467,-458.668,-460.192,-460.917,-461.139,-461.780,-462.273,-462.114,-462.612,-461.336,-461.908,-461.986,0.133,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.585,PASS,1234.002,2.492,1931.339,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
11, 1,23,1, 1,1,-404.090,-480.429,-479.122,-479.074,-480.865,-481.028,-480.836,-481.599,-483.569,-482.704,-481.510,-478.512,-0.068,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.604,PASS,1230.652,2.456,1936.164,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
12, 0,25,0, 1,1,-393.090,-464.053,-465.101,-465.722,-466.702,-466.570,-467.330,-467.886,-468.465,-466.950,-466.238,-467.026,0.063,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.589,PASS,1235.030,2.485,1917.573,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
12, 1,25,1, 1,1,-390.447,-460.777,-460.102,-462.333,-461.816,-460.700,-460.899,-462.676,-462.829,-461.067,-461.383,-461.340,0.350,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.640,PASS,1232.669,2.469,1900.852,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
13, 0,27,0, 1,1,-392.412,-459.603,-461.413,-463.550,-463.184,-462.611,-464.589,-463.672,-465.401,-464.059,-462.199,-463.237,0.286,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.581,PASS,1228.827,2.507,1899.594,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
13, 1,27,1, 1,1,-407.023,-481.951,-481.079,-483.120,-482.092,-483.348,-481.765,-483.689,-486.220,-482.909,-483.954,-483.046,0.224,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.585,PASS,1230.376,2.464,1928.669,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
14, 0,29,0, 1,1,-397.493,-468.612,-471.370,-470.813,-470.201,-471.050,-472.158,-471.948,-473.899,-472.220,-472.385,-469.517,0.236,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.629,PASS,1229.378,2.480,1908.057,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
14, 1,29,1, 1,1,-390.691,-461.836,-461.501,-463.787,-464.193,-463.684,-463.030,-463.809,-464.302,-464.356,-464.450,-462.303,0.132,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.603,PASS,1230.626,2.464,1926.957,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
15, 0,31,0, 1,1,-390.474,-459.445,-460.588,-460.441,-461.892,-460.510,-461.055,-459.988,-462.455,-461.951,-460.887,-461.982,0.319,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.681,PASS,1233.338,2.468,1905.562,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
15, 1,31,1, 1,1,-406.812,-483.354,-482.015,-482.954,-482.207,-482.178,-481.932,-484.818,-484.599,-484.513,-484.582,-481.611,0.243,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.619,PASS,1231.128,2.409,1946.895,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
16, 0,33,0, 1,1,-394.967,-465.593,-467.153,-467.536,-465.663,-467.563,-467.793,-467.036,-468.561,-466.559,-467.421,-468.286,0.192,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.563,PASS,1231.721,2.486,1945.615,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
16, 1,33,1, 1,1,-391.937,-461.011,-461.434,-465.222,-463.482,-463.340,-463.874,-463.314,-466.229,-465.148,-464.010,-462.074,0.391,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.631,PASS,1233.145,2.468,1902.815,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
17, 0,35,0, 1,1,-390.316,-458.458,-460.278,-461.498,-460.857,-460.524,-461.370,-460.351,-462.536,-461.298,-463.329,-463.265,0.390,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.699,PASS,1229.253,2.438,1944.182,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
17, 1,35,1, 1,1,-400.428,-476.883,-476.161,-474.135,-474.630,-475.135,-475.311,-476.823,-476.513,-476.532,-475.883,-473.878,0.257,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.576,PASS,1230.038,2.430,1920.288,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
18, 0,37,0, 1,1,-395.459,-465.646,-467.501,-468.975,-468.604,-468.781,-469.904,-469.067,-470.219,-469.659,-469.595,-469.860,0.435,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.602,PASS,1232.674,2.479,1931.378,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
18, 1,37,1, 1,1,-390.729,-461.369,-460.178,-462.224,-464.675,-462.462,-461.991,-463.233,-463.983,-462.642,-463.171,-461.697,0.041,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.630,PASS,1231.779,2.468,1917.423,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
19, 0,39,0, 1,1,-388.192,-457.742,-458.985,-456.645,-458.955,-457.267,-457.412,-459.553,-458.633,-457.959,-458.421,-459.323,0.194,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.608,PASS,1223.288,2.424,1909.101,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
19, 1,39,1, 1,1,-398.436,-474.435,-472.942,-471.728,-472.973,-471.983,-472.989,-473.828,-477.338,-474.131,-472.129,-470.570,0.033,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.714,PASS,1230.902,2.454,1933.098,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
20, 0,41,0, 1,1,-391.295,-463.700,-465.416,-464.303,-463.374,-464.378,-466.585,-465.640,-466.845,-465.104,-465.494,-465.456,0.216,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.644,PASS,1230.105,2.475,1921.762,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
20, 1,41,1, 1,1,-388.995,-460.266,-459.954,-461.756,-462.007,-458.030,-460.947,-462.785,-460.216,-461.950,-461.589,-459.562,0.248,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.704,PASS,1226.003,2.440,1908.877,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
21, 0,43,0, 1,1,-388.125,-457.418,-458.365,-459.136,-460.114,-458.943,-460.339,-461.005,-459.920,-461.002,-459.642,-460.264,0.003,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.617,PASS,1230.744,2.514,1920.515,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
21, 1,43,1, 1,1,-396.220,-473.624,-472.718,-470.708,-471.760,-471.745,-470.272,-472.580,-473.614,-472.456,-473.280,-470.694,0.156,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.665,PASS,1231.541,2.468,1921.119,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
22, 0,45,0, 1,1,-397.049,-466.442,-467.405,-469.132,-468.380,-468.943,-469.460,-468.842,-470.925,-469.072,-469.214,-468.906,-0.021,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.623,PASS,1232.874,2.493,1904.002,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
22, 1,45,1, 1,1,-392.362,-460.977,-460.412,-462.734,-464.652,-463.660,-463.826,-463.904,-464.598,-464.270,-464.196,-462.627,0.002,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.659,PASS,1232.406,2.438,1911.568,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
23, 0,47,0, 1,1,-386.454,-457.833,-462.520,-458.445,-456.953,-455.806,-458.037,-457.001,-459.076,-459.643,-460.329,-459.443,0.172,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.668,PASS,1228.739,2.462,1917.573,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
23, 1,47,1, 1,1,-398.809,-476.435,-475.449,-473.811,-475.924,-475.398,-475.325,-475.290,-477.423,-476.174,-475.159,-473.988,0.418,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.529,PASS,1227.669,2.430,1930.500,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
24, 0,49,0, 1,1,-397.975,-468.088,-468.970,-471.013,-473.705,-470.572,-471.064,-471.709,-470.982,-471.962,-472.366,-470.027,0.171,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.574,PASS,1229.228,2.449,1921.686,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
24, 1,49,1, 1,1,-387.649,-460.505,-460.436,-460.646,-460.250,-459.649,-460.394,-459.557,-461.699,-461.468,-460.582,-458.880,0.182,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.649,PASS,1236.102,2.493,1905.339,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
25, 0,51,0, 1,1,-392.484,-459.913,-461.805,-463.641,-462.755,-462.449,-463.715,-463.605,-464.695,-463.683,-464.931,-464.105,0.239,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.616,PASS,1233.137,2.498,1911.717,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
25, 1,51,1, 1,1,-398.923,-476.788,-475.650,-474.569,-474.000,-476.634,-472.717,-475.328,-476.408,-476.499,-476.597,-473.015,0.204,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.623,PASS,1229.436,2.445,1912.916,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
26, 0,53,0, 1,1,-397.364,-466.809,-468.379,-469.513,-470.930,-469.560,-469.512,-470.615,-472.174,-471.442,-470.106,-469.593,0.055,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.627,PASS,1227.699,2.424,1912.166,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
26, 1,53,1, 1,1,-391.531,-460.753,-460.111,-463.191,-462.169,-462.467,-461.014,-463.623,-463.292,-463.826,-464.230,-461.469,0.184,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.613,PASS,1227.031,2.431,1919.194,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
27, 0,55,0, 1,1,-392.126,-459.870,-461.289,-462.679,-462.974,-460.782,-464.398,-462.439,-464.109,-463.086,-465.160,-463.671,0.219,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.658,PASS,1229.691,2.492,1918.477,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
27, 1,55,1, 1,1,-399.234,-477.461,-476.099,-474.879,-475.800,-474.509,-475.954,-477.204,-475.631,-476.842,-476.846,-475.127,0.104,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.608,PASS,1231.867,2.466,1913.553,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
28, 0,57,0, 1,1,-396.256,-466.518,-469.061,-469.127,-468.985,-470.109,-470.205,-469.568,-469.910,-470.470,-470.192,-468.596,0.261,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.613,PASS,1231.358,2.486,1921.081,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
28, 1,57,1, 1,1,-389.960,-459.927,-459.524,-462.924,-463.214,-461.426,-461.777,-463.595,-463.320,-462.513,-462.317,-462.389,0.369,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.685,PASS,1232.280,2.475,1900.260,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
29, 0,59,0, 1,1,-386.721,-457.418,-458.641,-459.065,-458.607,-458.972,-458.854,-459.022,-459.791,-459.376,-459.647,-458.837,0.163,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.665,PASS,1232.210,2.481,1907.498,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
29, 1,59,1, 1,1,-403.694,-479.145,-478.673,-477.753,-479.017,-478.769,-478.976,-479.261,-481.962,-479.300,-479.727,-477.173,0.025,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.610,PASS,1230.614,2.478,1915.392,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
30, 0,61,0, 1,1,-396.433,-467.472,-468.703,-469.613,-468.304,-467.869,-468.538,-469.162,-470.706,-470.036,-470.177,-470.128,0.295,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.605,PASS,1232.774,2.486,1924.716,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
30, 1,61,1, 1,1,-388.188,-459.799,-459.080,-460.322,-461.677,-461.703,-459.631,-460.247,-461.099,-460.437,-461.023,-459.314,0.319,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.650,PASS,1225.652,2.428,1926.919,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
